# Isochrone for LMC metallicity and an age of 10 Gyr
# log(Teff[K])   Mbol   BC_I          BC_V
  3.625          7.38   0.814779122  -0.554198016
  3.636          7.21   0.825816482  -0.471347646
  3.646          7.04   0.835195617  -0.395983583
  3.657          6.86   0.845215934  -0.316272631
  3.668          6.69   0.854121862  -0.24341758
  3.68           6.51   0.862280699  -0.168658193
  3.691          6.32   0.865531658  -0.111457992
  3.703          6.13   0.866963466  -0.0545523839
  3.713          5.95   0.864489882  -0.0158699626
  3.723          5.78   0.860344379   0.0195585674
  3.732          5.61   0.85269149    0.0443434074
  3.741          5.43   0.844669458   0.0685388507
  3.75           5.24   0.832227973   0.0859504131
  3.758          5.05   0.821216139   0.101444728
  3.764          4.89   0.811047472   0.110577745
  3.769          4.73   0.801947711   0.117453448
  3.774          4.57   0.79286719    0.124401556
  3.775          4.51   0.791066244   0.125861782
  3.777          4.35   0.787489759   0.128897448
  3.777          4.33   0.787499476   0.128943525
  3.78           4.17   0.781392138   0.132629382
  3.781          4.16   0.779182418   0.133587459
  3.78           4.01   0.781491425   0.133075837
  3.777          3.85   0.78775413    0.130151027
  3.771          3.69   0.798710619   0.122218215
  3.746          3.57   0.837937263   0.079708077
  3.725          3.56   0.858131077   0.0273378065
  3.722          3.56   0.860570422   0.0192819518
  3.703          3.38   0.8656134    -0.0473273915
  3.701          3.34   0.866018786  -0.0544220736
  3.697          3.17   0.865622674  -0.0706355967
  3.695          3.01   0.864856192  -0.0796465488
  3.693          2.86   0.864283589  -0.088673823
  3.691          2.69   0.863718351  -0.0975851565
  3.689          2.50   0.863154217  -0.106371538
  3.687          2.34   0.862491074  -0.115198474
  3.685          2.18   0.861791394  -0.123970182
  3.683          2.00   0.861088679  -0.132610612
  3.68           1.84   0.859954742  -0.145973091
  3.678          1.69   0.859404628  -0.154744693
  3.675          1.51   0.85726368   -0.17038204
  3.672          1.34   0.854142945  -0.18778307
  3.669          1.16   0.85096347   -0.205026498
  3.669          1.11   0.851088373  -0.204817448
  3.67           1.15   0.852212465  -0.199006768
  3.667          1.00   0.848888686  -0.216280837
  3.664          0.83   0.845562489  -0.233377246
  3.661          0.64   0.84252106   -0.250564931
  3.657          0.46   0.838006858  -0.273745144
  3.652          0.27   0.831122066  -0.304917003
  3.648          0.09   0.82334447   -0.334845305
  3.645         -0.08   0.81750936   -0.357073414
  3.641         -0.24   0.80961286   -0.386977159
  3.638         -0.40   0.803921914  -0.409424173
  3.634         -0.57   0.795945788  -0.439464655
  3.63          -0.72   0.787676333  -0.469552543
  3.625         -0.89   0.773461441  -0.514621487
  3.62          -1.09   0.757401169  -0.563331375
  3.615         -1.26   0.741158314  -0.612808986
  3.609         -1.45   0.721526742  -0.673007138
  3.602         -1.67   0.698352311  -0.743301115
  3.595         -1.85   0.662389429  -0.831551956
  3.589         -2.04   0.631701272  -0.907792651
  3.577         -2.28   0.571683393  -1.0602587
  3.569         -2.54   0.512580342  -1.18904026
  3.564         -2.70   0.468482467  -1.27877041
  3.556         -2.85   0.397695975  -1.42105912
  3.548         -3.03   0.328194414  -1.56269757
  3.537         -3.25   0.235477107  -1.757332
  3.525         -3.47  -0.059768320  -2.34723032
  3.513         -3.67  -0.387868164  -2.94734631
  3.684          0.60   0.867230014  -0.122863772
  3.68           0.50   0.865632585  -0.14085977
  3.687          0.49   0.869423792  -0.108762013
  3.682          0.33   0.867613008  -0.131140573
  3.675          0.15   0.863486891  -0.164845379
  3.669         -0.01   0.856308449  -0.200002349
  3.659         -0.28   0.843971538  -0.258736206
  3.644         -0.68   0.818603575  -0.36240675
  3.634         -0.98   0.797704645  -0.437833229
  3.639         -0.82   0.808262984  -0.400152347
  3.643         -0.72   0.816608752  -0.369924262
  3.637         -0.91   0.804164684  -0.415155021
  3.63          -1.09   0.788992391  -0.468022162
  3.624         -1.28   0.7713162    -0.52428375
  3.617         -1.48   0.748484445  -0.594409302
  3.611         -1.64   0.728684724  -0.654529812
  3.603         -1.87   0.702006503  -0.734830135
  3.588         -2.19   0.627874917  -0.922500235
  3.579         -2.40   0.583739513  -1.03705039
  3.569         -2.63   0.514780804  -1.19044661
  3.556         -2.87   0.399880581  -1.42146196
  3.546         -3.09   0.314606068  -1.59959435
  3.531         -3.36   0.102556435  -2.03167701
  3.506         -3.78  -0.580504038  -3.28313989
  3.489         -4.05  -0.984983545  -3.96859746
  3.472         -4.32  -1.25590773   -4.41701708
  3.455         -4.59  -1.47306715   -4.79751679
  3.454         -4.60  -1.48001257   -4.8123634
